Bouteloa gracilis,Neobuxbaumia mezcalaensis,Lippia graveolens,Yucca periculosa,Calliandra eriophylla,Aeschinomene compacta,Hibiscus,Ruelia,Ipomea sp,Justicia mexicana,Ruelia hirsutoglandulosa,Lantana achirantifolia,Cnidosculus tehuacanensis,Echinopterix eglandulosa,Opuntia decumbens,Hechtia
False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False
False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False
True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
True,True,True,True,True,False,False,True,False,False,False,False,False,False,False,False
False,True,False,True,True,False,False,True,False,False,False,False,False,False,False,False
True,True,True,False,True,False,False,False,False,False,False,False,True,False,False,False
False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False
True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False
False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False
True,False,False,False,True,False,False,False,True,False,False,False,True,False,True,True
True,True,True,True,True,False,False,False,False,True,False,False,False,False,False,True
True,True,True,False,True,True,False,False,False,False,False,False,False,False,True,False
True,True,True,False,False,False,True,False,True,False,False,False,False,False,False,False
True,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False
True,True,True,False,True,False,False,True,False,False,False,False,False,False,False,False
True,True,True,False,True,False,False,False,False,False,False,False,False,True,False,False
True,True,True,False,False,False,False,True,False,True,False,False,False,True,False,False
True,True,False,False,True,True,False,False,False,False,False,False,False,True,False,False
True,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False
True,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False
True,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False
True,True,True,False,True,False,False,True,False,False,False,False,False,True,False,False
False,True,False,True,True,False,True,False,False,False,False,False,False,False,False,False
True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
True,True,False,False,True,False,False,False,False,False,True,True,False,False,False,False
True,True,True,True,False,True,False,True,False,False,False,False,False,False,False,False
False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False
False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False
True,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False
False,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False
True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False
True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True
True,True,True,True,True,False,False,False,True,False,False,False,False,False,False,False
True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False
True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False
True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False
True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False
True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
True,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False
True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False
True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False
True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
True,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False
True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False
True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False
True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False
True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
True,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False
True,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False
True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
True,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False
True,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False
True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False
True,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False
True,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False
True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True
True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
True,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False
True,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False
True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False
False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False
True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
True,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False
True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
True,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False
False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False
True,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False
True,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False
True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
True,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False
False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
True,True,True,True,True,False,True,True,False,False,False,False,False,True,False,False
True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
True,True,False,False,True,False,False,False,True,False,True,False,False,False,False,False
True,True,False,True,False,False,True,False,False,False,False,True,False,True,False,False
False,True,False,True,False,False,True,False,True,False,False,False,False,True,False,False
False,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False
True,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False
True,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False
True,True,False,True,False,False,False,True,False,False,False,True,False,True,False,False
True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
True,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False
True,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False
True,True,False,True,False,False,False,True,False,True,False,True,False,True,False,True
False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,True
True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
True,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False
False,True,False,True,False,True,False,False,True,False,False,False,False,False,False,False
False,True,False,True,False,False,False,False,False,False,False,True,False,True,False,False
True,True,False,True,False,True,False,True,True,False,False,True,False,True,False,False
False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False
True,True,False,True,False,True,False,False,True,False,False,False,False,True,False,False
True,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False
True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
True,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False
False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False
True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False
True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False
False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False
True,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False
False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
True,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False
True,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False
True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False
True,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False
False,True,True,False,False,True,False,True,False,True,False,False,False,False,False,False
False,True,False,True,False,False,False,False,False,True,False,True,False,True,False,False
True,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False
True,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False
False,True,False,False,False,True,False,True,False,False,False,True,False,True,False,False
False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
False,True,True,True,False,True,False,False,True,False,True,False,False,False,False,False
True,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False
True,True,True,False,False,False,False,True,True,False,False,False,False,True,True,False
True,False,False,True,False,False,True,True,False,False,False,True,False,True,True,False
True,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False
False,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False
True,False,False,True,False,True,True,True,True,False,False,False,False,False,False,False
False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False
True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False
False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False
True,False,True,True,False,False,False,True,False,True,False,True,False,True,False,False
False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False
True,True,False,True,False,True,False,True,False,False,False,True,False,True,False,False
False,True,False,True,False,False,False,True,False,True,False,True,False,True,False,False
True,True,False,True,False,False,False,True,False,True,False,True,False,False,False,False
False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
True,False,True,True,False,True,False,False,False,True,True,False,False,False,False,False
False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False
True,False,False,True,False,False,False,False,False,True,True,True,False,False,False,False
True,False,False,True,False,False,True,True,False,True,False,False,False,False,False,False
True,True,True,True,False,False,False,False,False,False,False,True,False,False,False,False
True,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False
False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
True,True,True,True,False,False,False,True,False,True,False,False,False,False,True,False
True,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False
False,False,True,True,False,False,True,False,False,True,True,False,False,False,True,False
True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False
True,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False
False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False
True,False,True,True,False,False,True,True,True,False,False,False,False,False,True,False
True,True,False,True,False,True,False,False,False,False,False,True,False,True,False,False
True,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False
True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
False,True,False,True,False,False,False,True,False,True,False,True,False,False,False,False
True,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False
True,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False
False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False
True,True,False,True,False,False,False,False,False,False,False,False,False,True,True,False
False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
True,True,False,True,False,True,False,False,False,False,False,False,False,False,True,False
False,True,True,True,False,True,False,False,False,False,False,False,False,True,False,False
False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False
False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
True,True,True,False,False,False,False,False,False,True,False,False,False,True,True,False
True,True,False,True,False,False,False,False,False,False,False,False,False,True,True,False
False,True,False,True,False,False,False,False,False,False,True,False,False,True,False,False
False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False
True,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False
False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False
False,True,False,True,False,False,False,True,True,False,False,True,True,False,False,False
True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False
True,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False
True,True,True,False,False,True,False,False,False,False,False,False,True,False,False,False
True,False,True,True,True,True,False,False,False,True,False,False,False,False,False,False
False,True,True,True,False,True,False,False,True,False,False,True,False,False,False,False
True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
True,True,False,True,True,False,False,False,True,False,False,False,True,False,False,False
True,False,False,False,True,True,True,False,False,False,False,False,True,True,True,True
True,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False
True,False,False,True,True,False,False,False,False,False,False,False,True,False,False,True
False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False
True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
True,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False
True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
True,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False
True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
True,False,False,True,False,True,False,True,False,True,False,False,False,False,False,True
True,False,True,True,False,False,False,True,True,False,False,False,False,False,False,False
False,False,False,True,False,True,False,True,False,False,False,True,False,False,False,False
False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False
True,False,False,True,False,True,False,True,False,False,True,True,False,False,False,False
False,False,True,True,False,False,False,True,False,True,False,True,False,True,False,False
True,False,False,True,True,False,False,True,False,False,True,True,False,True,False,False
False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False
True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False
False,False,True,False,False,False,False,True,False,True,False,True,False,False,False,False
False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,True
True,False,False,False,False,True,False,True,True,False,False,True,False,False,False,False
False,False,True,True,False,True,False,True,True,False,False,True,False,True,False,False
False,False,False,True,False,False,False,True,False,True,False,True,False,False,False,False
True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False
False,False,True,True,False,False,False,False,False,True,True,True,False,False,False,False
False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False
True,True,True,False,True,False,False,False,False,False,False,True,False,False,False,False
False,True,True,True,True,False,False,False,True,False,False,False,False,True,True,False
False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False
True,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False
True,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False
False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False
False,False,False,False,True,True,False,False,False,True,False,False,False,False,True,False
True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False
True,True,False,True,True,False,False,False,False,False,False,True,False,False,False,False
True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True
False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False
True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False
True,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False
True,True,False,False,False,False,False,False,True,False,False,False,True,True,False,False
False,True,False,True,True,False,False,False,True,False,False,False,True,True,False,False
True,True,False,False,True,False,False,False,True,True,False,True,False,True,False,True
True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
True,True,False,False,True,False,False,False,False,False,False,False,True,False,False,True
True,False,False,False,True,True,False,False,False,True,False,False,True,False,False,True
False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True
False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True
False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,True
True,False,False,True,True,False,False,False,False,True,False,False,False,False,False,True
True,True,False,True,True,True,False,False,True,True,False,False,True,False,False,True
True,False,False,True,True,False,False,True,False,True,True,False,False,False,False,False
True,False,True,True,True,False,False,True,True,False,False,True,False,True,False,False
True,False,False,False,True,False,False,False,False,False,False,True,False,True,True,False
True,True,False,False,False,False,False,False,True,True,False,True,False,True,False,False
True,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False
True,True,True,False,True,False,True,False,False,True,False,False,False,True,False,False
True,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False
True,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False
False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False
True,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False
True,True,True,False,True,False,False,True,False,True,True,False,False,True,False,False
True,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False
False,True,True,False,False,False,False,True,True,False,False,False,False,True,False,False
False,True,True,False,True,False,True,False,False,True,False,True,False,False,False,False
False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False
True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False
True,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False
True,True,True,False,True,False,True,False,True,False,False,False,False,False,False,False
True,False,True,False,True,False,True,True,False,False,False,False,False,False,False,False
True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
True,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False
True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
False,True,False,True,False,False,False,True,True,True,False,True,False,False,False,False
True,True,True,False,True,False,False,True,False,True,False,False,True,False,False,False
False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False
True,False,True,False,True,False,False,False,False,True,False,True,False,False,False,False
True,True,True,False,False,True,False,False,False,False,False,False,True,True,False,False
True,True,True,False,True,False,False,False,True,False,True,False,False,False,False,False
True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
True,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False
True,False,False,True,True,False,False,False,True,False,False,False,False,False,True,False
True,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False
False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False
True,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False
True,True,True,True,True,True,False,False,True,False,False,False,False,False,False,False
True,False,False,False,True,False,False,False,True,False,False,True,True,False,False,True
True,True,True,False,False,False,False,True,True,False,False,True,False,False,False,False
True,True,True,True,True,True,False,False,False,False,False,True,False,True,False,True
True,False,False,False,False,False,False,True,True,True,False,False,False,True,False,False
True,True,True,True,False,True,False,False,False,False,True,False,True,False,False,False
True,True,True,False,True,False,False,True,False,True,False,False,True,False,False,True
True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True
False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False
False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False
False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False
True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
True,True,True,False,False,False,False,True,False,True,False,False,False,False,False,True
True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
True,True,True,False,True,False,False,False,True,True,False,False,False,True,False,False
True,True,True,False,False,False,False,True,False,False,True,False,False,True,False,False
True,True,True,False,True,True,True,False,True,True,False,True,False,False,False,True
True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False
False,True,True,True,True,False,True,False,True,False,False,True,False,False,False,True
True,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False
True,True,True,True,False,False,False,False,True,True,False,True,False,False,False,True
True,True,False,False,False,False,True,True,True,False,False,False,False,False,False,False
True,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False
False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False
True,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False
True,False,True,True,False,False,False,True,False,True,False,False,False,False,False,False
True,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False
True,False,True,False,True,False,False,True,True,False,False,False,False,False,False,False
True,True,False,False,False,False,False,False,False,True,True,True,False,False,False,False
True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
True,True,True,False,True,False,True,False,False,False,True,False,False,True,False,False
True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
True,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False
True,False,False,False,True,True,False,False,False,True,False,True,True,False,False,True
False,False,True,False,True,True,False,False,True,False,True,False,False,False,False,False
True,True,True,False,False,False,False,False,True,False,False,False,True,False,False,False
True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False
True,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False
True,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False
