"","Jasonia_glutinosa","Helichrysum_stoechas","Bombycilaena_erecta","Phagnalon_saxatile","Phagnalon_rupestre","Artemisia_campestris","Santolina_chamaecyparissus","Launaea_fragilis","Scorzonera_sp","Atractylis_cancellata","Thapsia_sp","Bupleurum_fruticescens","Eryngium_campestre","Lomelosia_stellata","Thymus_moroderi","Thymus_vulgaris","Rosmarinus_officinalis","Lavandula_latifolia","Teucrium_libanitis","Teucrium_carolipaui","Teucrium_capitatum","Teucrium_pseudochamaepitys","Phlomis_lychnitis","Sideritis_incana","Sideritis_angustifolia","Orobanche_sp","Ruelia_hirsutoglandulosa","Ruellia_lutea","Justicia_mexicana","Lippia_graveolens","Lantana_achyranthifolia","Plantago_albicans","Globularia_alypum","Olea_europaea","Lithodora_fruticosa","Asperula_aristata","Rubia_peregrina","Ipomoea_sp","Convolvulus_lanuginosus","Erica_multiflora","Coris_monspeliensis","Neobuxbaumia_mezcalaensis","Opuntia_decumbens","Dianthus_sp","Gypsophila_struthium","Paronychia_suffruticosa","Paronychia_argentea","Herniaria_fruticosa","Salsola_genistoides","Limonium_sp","Thesium_humifusum","Ononis_tridentata","Astragalus_sp","Onobrychis_sp","Dorycnium_pentaphyllum","Anthyllis_cytisoides","Anthyllis_terniflora","Coronilla_minima","Ulex_parviflorus","Aeschynomene_compacta","Calliandra_eriophylla","Polygala_rupestris","Rhamnus_lycioides","Rhamnus_alaternus","Quercus_coccifera","Echinopterys_eglandulosa","Cnidosculus_tehuacanensis","Diplotaxis_harra","Moricandia_arvensis","Matthiola_fruticulosa","Reseda_stricta","Reseda_phyteuma","Hibiscus_elegans","Fumana_thymifolia","Fumana_laevipes","Fumana_ericoides","Fumana_hispidula","Cistus_albidus","Cistus_clusii","Helianthemum_violaceum","Helianthemum_syriacum","Helianthemum_squamatum","Helianthemum_cinereum","Thymelaea_hirsuta","Thymelaea_tinctoria","Ruta_angustifolia","Haplophyllum_rosmarinifolium","Pistacia_lentiscus","Sedum_sediforme","Asparagus_horridus","Yucca_periculosa","Dipcadi_serotinum","Lapiedra_martinezii","Asphodelus_fistulosus","Bouteloua_gracilis","Brachypodium_retusum","Brachypodium_phoenicoides","Stipa_offneri","Stipa_parviflora","Stipa_tenacissima","Lygeum_spartum","Carex_humilis","Hechtia_podantha","Juniperus_phoenicea","Juniperus_oxycedrus","Pinus_halepensis","Ephedra_fragilis"
"Jasonia_glutinosa",0,90.5192690000001,90.5192690000001,90.5192690000001,90.5192690000001,90.5192690000001,90.519268,90.5192680000001,90.5192680000001,90.5192690000001,187.460422,187.460423,187.460423,187.460422,213.48282,213.482821,213.482821,213.48282,213.48282,213.48282,213.482821,213.482821,213.48282,213.48282,213.482821,213.48282,213.48282,213.48282,213.48282,213.48282,213.482821,213.482821,213.482821,213.482821,213.482821,213.482821,213.482821,213.48282,213.482821,224.681457,224.681457,239.748467,239.748467,239.748466,239.748466,239.748466,239.748466,239.748466,239.748467,239.748466,242.769328,247.468472,247.468472,247.468472,247.468473,247.468472,247.468473,247.468473,247.468472,247.468472,247.468473,247.468472,247.468473,247.468473,247.468473,247.468473,247.468472,247.4684730003,247.468473,247.4684730003,247.468472,247.468472,247.468472,247.468472,247.468472,247.468472,247.468472,247.468472,247.468473,247.468472,247.468472,247.468472,247.468472,247.468473,247.468473,247.468473,247.468473,247.468473,247.468473,271.516129,271.516128,271.516129,271.516129,271.516128,271.516128,271.516129,271.516129,271.516128,271.516129,271.516129,271.516129,271.516128,271.516128,650.100055,650.100055,650.100055,650.100055
"Helichrysum_stoechas",90.5192690000001,0,13.516502,27.369892,27.369892,45.97892,45.978919,61.348277,61.3482770000001,68.560448,187.460423,187.460424,187.460424,187.460423,213.482821,213.482822,213.482822,213.482821,213.482821,213.482821,213.482822,213.482822,213.482821,213.482821,213.482822,213.482821,213.482821,213.482821,213.482821,213.482821,213.482822,213.482822,213.482822,213.482822,213.482822,213.482822,213.482822,213.482821,213.482822,224.681458,224.681458,239.748468,239.748468,239.748467,239.748467,239.748467,239.748467,239.748467,239.748468,239.748467,242.769329,247.468473,247.468473,247.468473,247.468474,247.468473,247.468474,247.468474,247.468473,247.468473,247.468474,247.468473,247.468474,247.468474,247.468474,247.468474,247.468473,247.4684740003,247.468474,247.4684740003,247.468473,247.468473,247.468473,247.468473,247.468473,247.468473,247.468473,247.468473,247.468474,247.468473,247.468473,247.468473,247.468473,247.468474,247.468474,247.468474,247.468474,247.468474,247.468474,271.51613,271.516129,271.51613,271.51613,271.516129,271.516129,271.51613,271.51613,271.516129,271.51613,271.51613,271.51613,271.516129,271.516129,650.100056,650.100056,650.100056,650.100056
"Bombycilaena_erecta",90.5192690000001,13.516502,0,27.369892,27.369892,45.97892,45.978919,61.348277,61.3482770000001,68.560448,187.460423,187.460424,187.460424,187.460423,213.482821,213.482822,213.482822,213.482821,213.482821,213.482821,213.482822,213.482822,213.482821,213.482821,213.482822,213.482821,213.482821,213.482821,213.482821,213.482821,213.482822,213.482822,213.482822,213.482822,213.482822,213.482822,213.482822,213.482821,213.482822,224.681458,224.681458,239.748468,239.748468,239.748467,239.748467,239.748467,239.748467,239.748467,239.748468,239.748467,242.769329,247.468473,247.468473,247.468473,247.468474,247.468473,247.468474,247.468474,247.468473,247.468473,247.468474,247.468473,247.468474,247.468474,247.468474,247.468474,247.468473,247.4684740003,247.468474,247.4684740003,247.468473,247.468473,247.468473,247.468473,247.468473,247.468473,247.468473,247.468473,247.468474,247.468473,247.468473,247.468473,247.468473,247.468474,247.468474,247.468474,247.468474,247.468474,247.468474,271.51613,271.516129,271.51613,271.51613,271.516129,271.516129,271.51613,271.51613,271.516129,271.51613,271.51613,271.51613,271.516129,271.516129,650.100056,650.100056,650.100056,650.100056
"Phagnalon_saxatile",90.5192690000001,27.369892,27.369892,0,2.438204,45.97892,45.978919,61.348277,61.3482770000001,68.560448,187.460423,187.460424,187.460424,187.460423,213.482821,213.482822,213.482822,213.482821,213.482821,213.482821,213.482822,213.482822,213.482821,213.482821,213.482822,213.482821,213.482821,213.482821,213.482821,213.482821,213.482822,213.482822,213.482822,213.482822,213.482822,213.482822,213.482822,213.482821,213.482822,224.681458,224.681458,239.748468,239.748468,239.748467,239.748467,239.748467,239.748467,239.748467,239.748468,239.748467,242.769329,247.468473,247.468473,247.468473,247.468474,247.468473,247.468474,247.468474,247.468473,247.468473,247.468474,247.468473,247.468474,247.468474,247.468474,247.468474,247.468473,247.4684740003,247.468474,247.4684740003,247.468473,247.468473,247.468473,247.468473,247.468473,247.468473,247.468473,247.468473,247.468474,247.468473,247.468473,247.468473,247.468473,247.468474,247.468474,247.468474,247.468474,247.468474,247.468474,271.51613,271.516129,271.51613,271.51613,271.516129,271.516129,271.51613,271.51613,271.516129,271.51613,271.51613,271.51613,271.516129,271.516129,650.100056,650.100056,650.100056,650.100056
"Phagnalon_rupestre",90.5192690000001,27.369892,27.369892,2.438204,0,45.97892,45.978919,61.348277,61.3482770000001,68.560448,187.460423,187.460424,187.460424,187.460423,213.482821,213.482822,213.482822,213.482821,213.482821,213.482821,213.482822,213.482822,213.482821,213.482821,213.482822,213.482821,213.482821,213.482821,213.482821,213.482821,213.482822,213.482822,213.482822,213.482822,213.482822,213.482822,213.482822,213.482821,213.482822,224.681458,224.681458,239.748468,239.748468,239.748467,239.748467,239.748467,239.748467,239.748467,239.748468,239.748467,242.769329,247.468473,247.468473,247.468473,247.468474,247.468473,247.468474,247.468474,247.468473,247.468473,247.468474,247.468473,247.468474,247.468474,247.468474,247.468474,247.468473,247.4684740003,247.468474,247.4684740003,247.468473,247.468473,247.468473,247.468473,247.468473,247.468473,247.468473,247.468473,247.468474,247.468473,247.468473,247.468473,247.468473,247.468474,247.468474,247.468474,247.468474,247.468474,247.468474,271.51613,271.516129,271.51613,271.51613,271.516129,271.516129,271.51613,271.51613,271.516129,271.51613,271.51613,271.51613,271.516129,271.516129,650.100056,650.100056,650.100056,650.100056
"Artemisia_campestris",90.5192690000001,45.97892,45.97892,45.97892,45.97892,0,11.440977,61.348277,61.3482770000001,68.560448,187.460423,187.460424,187.460424,187.460423,213.482821,213.482822,213.482822,213.482821,213.482821,213.482821,213.482822,213.482822,213.482821,213.482821,213.482822,213.482821,213.482821,213.482821,213.482821,213.482821,213.482822,213.482822,213.482822,213.482822,213.482822,213.482822,213.482822,213.482821,213.482822,224.681458,224.681458,239.748468,239.748468,239.748467,239.748467,239.748467,239.748467,239.748467,239.748468,239.748467,242.769329,247.468473,247.468473,247.468473,247.468474,247.468473,247.468474,247.468474,247.468473,247.468473,247.468474,247.468473,247.468474,247.468474,247.468474,247.468474,247.468473,247.4684740003,247.468474,247.4684740003,247.468473,247.468473,247.468473,247.468473,247.468473,247.468473,247.468473,247.468473,247.468474,247.468473,247.468473,247.468473,247.468473,247.468474,247.468474,247.468474,247.468474,247.468474,247.468474,271.51613,271.516129,271.51613,271.51613,271.516129,271.516129,271.51613,271.51613,271.516129,271.51613,271.51613,271.51613,271.516129,271.516129,650.100056,650.100056,650.100056,650.100056
"Santolina_chamaecyparissus",90.519268,45.978919,45.978919,45.978919,45.978919,11.440977,0,61.348276,61.3482760000001,68.560447,187.460422,187.460423,187.460423,187.460422,213.48282,213.482821,213.482821,213.48282,213.48282,213.48282,213.482821,213.482821,213.48282,213.48282,213.482821,213.48282,213.48282,213.48282,213.48282,213.48282,213.482821,213.482821,213.482821,213.482821,213.482821,213.482821,213.482821,213.48282,213.482821,224.681457,224.681457,239.748467,239.748467,239.748466,239.748466,239.748466,239.748466,239.748466,239.748467,239.748466,242.769328,247.468472,247.468472,247.468472,247.468473,247.468472,247.468473,247.468473,247.468472,247.468472,247.468473,247.468472,247.468473,247.468473,247.468473,247.468473,247.468472,247.4684730003,247.468473,247.4684730003,247.468472,247.468472,247.468472,247.468472,247.468472,247.468472,247.468472,247.468472,247.468473,247.468472,247.468472,247.468472,247.468472,247.468473,247.468473,247.468473,247.468473,247.468473,247.468473,271.516129,271.516128,271.516129,271.516129,271.516128,271.516128,271.516129,271.516129,271.516128,271.516129,271.516129,271.516129,271.516128,271.516128,650.100055,650.100055,650.100055,650.100055
"Launaea_fragilis",90.5192680000001,61.348277,61.348277,61.348277,61.348277,61.348277,61.348276,0,51.5587540000001,68.560447,187.460422,187.460423,187.460423,187.460422,213.48282,213.482821,213.482821,213.48282,213.48282,213.48282,213.482821,213.482821,213.48282,213.48282,213.482821,213.48282,213.48282,213.48282,213.48282,213.48282,213.482821,213.482821,213.482821,213.482821,213.482821,213.482821,213.482821,213.48282,213.482821,224.681457,224.681457,239.748467,239.748467,239.748466,239.748466,239.748466,239.748466,239.748466,239.748467,239.748466,242.769328,247.468472,247.468472,247.468472,247.468473,247.468472,247.468473,247.468473,247.468472,247.468472,247.468473,247.468472,247.468473,247.468473,247.468473,247.468473,247.468472,247.4684730003,247.468473,247.4684730003,247.468472,247.468472,247.468472,247.468472,247.468472,247.468472,247.468472,247.468472,247.468473,247.468472,247.468472,247.468472,247.468472,247.468473,247.468473,247.468473,247.468473,247.468473,247.468473,271.516129,271.516128,271.516129,271.516129,271.516128,271.516128,271.516129,271.516129,271.516128,271.516129,271.516129,271.516129,271.516128,271.516128,650.100055,650.100055,650.100055,650.100055
"Scorzonera_sp",90.5192680000001,61.3482770000001,61.3482770000001,61.3482770000001,61.3482770000001,61.3482770000001,61.3482760000001,51.5587540000001,0,68.5604470000001,187.460422,187.460423,187.460423,187.460422,213.48282,213.482821,213.482821,213.48282,213.48282,213.48282,213.482821,213.482821,213.48282,213.48282,213.482821,213.48282,213.48282,213.48282,213.48282,213.48282,213.482821,213.482821,213.482821,213.482821,213.482821,213.482821,213.482821,213.48282,213.482821,224.681457,224.681457,239.748467,239.748467,239.748466,239.748466,239.748466,239.748466,239.748466,239.748467,239.748466,242.769328,247.468472,247.468472,247.468472,247.468473,247.468472,247.468473,247.468473,247.468472,247.468472,247.468473,247.468472,247.468473,247.468473,247.468473,247.468473,247.468472,247.4684730003,247.468473,247.4684730003,247.468472,247.468472,247.468472,247.468472,247.468472,247.468472,247.468472,247.468472,247.468473,247.468472,247.468472,247.468472,247.468472,247.468473,247.468473,247.468473,247.468473,247.468473,247.468473,271.516129,271.516128,271.516129,271.516129,271.516128,271.516128,271.516129,271.516129,271.516128,271.516129,271.516129,271.516129,271.516128,271.516128,650.100055,650.100055,650.100055,650.100055
"Atractylis_cancellata",90.5192690000001,68.560448,68.560448,68.560448,68.560448,68.560448,68.560447,68.560447,68.5604470000001,0,187.460423,187.460424,187.460424,187.460423,213.482821,213.482822,213.482822,213.482821,213.482821,213.482821,213.482822,213.482822,213.482821,213.482821,213.482822,213.482821,213.482821,213.482821,213.482821,213.482821,213.482822,213.482822,213.482822,213.482822,213.482822,213.482822,213.482822,213.482821,213.482822,224.681458,224.681458,239.748468,239.748468,239.748467,239.748467,239.748467,239.748467,239.748467,239.748468,239.748467,242.769329,247.468473,247.468473,247.468473,247.468474,247.468473,247.468474,247.468474,247.468473,247.468473,247.468474,247.468473,247.468474,247.468474,247.468474,247.468474,247.468473,247.4684740003,247.468474,247.4684740003,247.468473,247.468473,247.468473,247.468473,247.468473,247.468473,247.468473,247.468473,247.468474,247.468473,247.468473,247.468473,247.468473,247.468474,247.468474,247.468474,247.468474,247.468474,247.468474,271.51613,271.516129,271.51613,271.51613,271.516129,271.516129,271.51613,271.51613,271.516129,271.51613,271.51613,271.51613,271.516129,271.516129,650.100056,650.100056,650.100056,650.100056
"Thapsia_sp",187.460422,187.460423,187.460423,187.460423,187.460423,187.460423,187.460422,187.460422,187.460422,187.460423,0,62.9458650000001,86.9356650000001,171.281308,213.48282,213.482821,213.482821,213.48282,213.48282,213.48282,213.482821,213.482821,213.48282,213.48282,213.482821,213.48282,213.48282,213.48282,213.48282,213.48282,213.482821,213.482821,213.482821,213.482821,213.482821,213.482821,213.482821,213.48282,213.482821,224.681457,224.681457,239.748467,239.748467,239.748466,239.748466,239.748466,239.748466,239.748466,239.748467,239.748466,242.769328,247.468472,247.468472,247.468472,247.468473,247.468472,247.468473,247.468473,247.468472,247.468472,247.468473,247.468472,247.468473,247.468473,247.468473,247.468473,247.468472,247.4684730003,247.468473,247.4684730003,247.468472,247.468472,247.468472,247.468472,247.468472,247.468472,247.468472,247.468472,247.468473,247.468472,247.468472,247.468472,247.468472,247.468473,247.468473,247.468473,247.468473,247.468473,247.468473,271.516129,271.516128,271.516129,271.516129,271.516128,271.516128,271.516129,271.516129,271.516128,271.516129,271.516129,271.516129,271.516128,271.516128,650.100055,650.100055,650.100055,650.100055
"Bupleurum_fruticescens",187.460423,187.460424,187.460424,187.460424,187.460424,187.460424,187.460423,187.460423,187.460423,187.460424,62.9458650000001,0,86.935666,171.281309,213.482821,213.482822,213.482822,213.482821,213.482821,213.482821,213.482822,213.482822,213.482821,213.482821,213.482822,213.482821,213.482821,213.482821,213.482821,213.482821,213.482822,213.482822,213.482822,213.482822,213.482822,213.482822,213.482822,213.482821,213.482822,224.681458,224.681458,239.748468,239.748468,239.748467,239.748467,239.748467,239.748467,239.748467,239.748468,239.748467,242.769329,247.468473,247.468473,247.468473,247.468474,247.468473,247.468474,247.468474,247.468473,247.468473,247.468474,247.468473,247.468474,247.468474,247.468474,247.468474,247.468473,247.4684740003,247.468474,247.4684740003,247.468473,247.468473,247.468473,247.468473,247.468473,247.468473,247.468473,247.468473,247.468474,247.468473,247.468473,247.468473,247.468473,247.468474,247.468474,247.468474,247.468474,247.468474,247.468474,271.51613,271.516129,271.51613,271.51613,271.516129,271.516129,271.51613,271.51613,271.516129,271.51613,271.51613,271.51613,271.516129,271.516129,650.100056,650.100056,650.100056,650.100056
"Eryngium_campestre",187.460423,187.460424,187.460424,187.460424,187.460424,187.460424,187.460423,187.460423,187.460423,187.460424,86.9356650000001,86.935666,0,171.281309,213.482821,213.482822,213.482822,213.482821,213.482821,213.482821,213.482822,213.482822,213.482821,213.482821,213.482822,213.482821,213.482821,213.482821,213.482821,213.482821,213.482822,213.482822,213.482822,213.482822,213.482822,213.482822,213.482822,213.482821,213.482822,224.681458,224.681458,239.748468,239.748468,239.748467,239.748467,239.748467,239.748467,239.748467,239.748468,239.748467,242.769329,247.468473,247.468473,247.468473,247.468474,247.468473,247.468474,247.468474,247.468473,247.468473,247.468474,247.468473,247.468474,247.468474,247.468474,247.468474,247.468473,247.4684740003,247.468474,247.4684740003,247.468473,247.468473,247.468473,247.468473,247.468473,247.468473,247.468473,247.468473,247.468474,247.468473,247.468473,247.468473,247.468473,247.468474,247.468474,247.468474,247.468474,247.468474,247.468474,271.51613,271.516129,271.51613,271.51613,271.516129,271.516129,271.51613,271.51613,271.516129,271.51613,271.51613,271.51613,271.516129,271.516129,650.100056,650.100056,650.100056,650.100056
"Lomelosia_stellata",187.460422,187.460423,187.460423,187.460423,187.460423,187.460423,187.460422,187.460422,187.460422,187.460423,171.281308,171.281309,171.281309,0,213.48282,213.482821,213.482821,213.48282,213.48282,213.48282,213.482821,213.482821,213.48282,213.48282,213.482821,213.48282,213.48282,213.48282,213.48282,213.48282,213.482821,213.482821,213.482821,213.482821,213.482821,213.482821,213.482821,213.48282,213.482821,224.681457,224.681457,239.748467,239.748467,239.748466,239.748466,239.748466,239.748466,239.748466,239.748467,239.748466,242.769328,247.468472,247.468472,247.468472,247.468473,247.468472,247.468473,247.468473,247.468472,247.468472,247.468473,247.468472,247.468473,247.468473,247.468473,247.468473,247.468472,247.4684730003,247.468473,247.4684730003,247.468472,247.468472,247.468472,247.468472,247.468472,247.468472,247.468472,247.468472,247.468473,247.468472,247.468472,247.468472,247.468472,247.468473,247.468473,247.468473,247.468473,247.468473,247.468473,271.516129,271.516128,271.516129,271.516129,271.516128,271.516128,271.516129,271.516129,271.516128,271.516129,271.516129,271.516129,271.516128,271.516128,650.100055,650.100055,650.100055,650.100055
"Thymus_moroderi",213.48282,213.482821,213.482821,213.482821,213.482821,213.482821,213.48282,213.48282,213.48282,213.482821,213.48282,213.482821,213.482821,213.48282,0,12.966331,39.200689,50.7155020000002,68.5608340000001,68.5608340000001,68.560835,68.560835,68.5608340000001,68.560834,68.560835,80.5778700000001,94.5428740000002,94.5428740000001,94.5428740000002,94.5428740000002,94.542875,105.865523,105.865523,142.041217,176.495553,179.502135,179.502135,179.502134,179.502135,224.681457,224.681457,239.748467,239.748467,239.748466,239.748466,239.748466,239.748466,239.748466,239.748467,239.748466,242.769328,247.468472,247.468472,247.468472,247.468473,247.468472,247.468473,247.468473,247.468472,247.468472,247.468473,247.468472,247.468473,247.468473,247.468473,247.468473,247.468472,247.4684730003,247.468473,247.4684730003,247.468472,247.468472,247.468472,247.468472,247.468472,247.468472,247.468472,247.468472,247.468473,247.468472,247.468472,247.468472,247.468472,247.468473,247.468473,247.468473,247.468473,247.468473,247.468473,271.516129,271.516128,271.516129,271.516129,271.516128,271.516128,271.516129,271.516129,271.516128,271.516129,271.516129,271.516129,271.516128,271.516128,650.100055,650.100055,650.100055,650.100055
"Thymus_vulgaris",213.482821,213.482822,213.482822,213.482822,213.482822,213.482822,213.482821,213.482821,213.482821,213.482822,213.482821,213.482822,213.482822,213.482821,12.966331,0,39.20069,50.7155030000002,68.560835,68.560835,68.560836,68.560836,68.5608350000001,68.560835,68.560836,80.5778710000001,94.5428750000001,94.5428750000001,94.5428750000001,94.5428750000001,94.542876,105.865524,105.865524,142.041218,176.495554,179.502136,179.502136,179.502135,179.502136,224.681458,224.681458,239.748468,239.748468,239.748467,239.748467,239.748467,239.748467,239.748467,239.748468,239.748467,242.769329,247.468473,247.468473,247.468473,247.468474,247.468473,247.468474,247.468474,247.468473,247.468473,247.468474,247.468473,247.468474,247.468474,247.468474,247.468474,247.468473,247.4684740003,247.468474,247.4684740003,247.468473,247.468473,247.468473,247.468473,247.468473,247.468473,247.468473,247.468473,247.468474,247.468473,247.468473,247.468473,247.468473,247.468474,247.468474,247.468474,247.468474,247.468474,247.468474,271.51613,271.516129,271.51613,271.51613,271.516129,271.516129,271.51613,271.51613,271.516129,271.51613,271.51613,271.51613,271.516129,271.516129,650.100056,650.100056,650.100056,650.100056
"Rosmarinus_officinalis",213.482821,213.482822,213.482822,213.482822,213.482822,213.482822,213.482821,213.482821,213.482821,213.482822,213.482821,213.482822,213.482822,213.482821,39.200689,39.20069,0,50.7155030000002,68.560835,68.560835,68.560836,68.560836,68.5608350000001,68.560835,68.560836,80.5778710000001,94.5428750000001,94.5428750000001,94.5428750000001,94.5428750000001,94.542876,105.865524,105.865524,142.041218,176.495554,179.502136,179.502136,179.502135,179.502136,224.681458,224.681458,239.748468,239.748468,239.748467,239.748467,239.748467,239.748467,239.748467,239.748468,239.748467,242.769329,247.468473,247.468473,247.468473,247.468474,247.468473,247.468474,247.468474,247.468473,247.468473,247.468474,247.468473,247.468474,247.468474,247.468474,247.468474,247.468473,247.4684740003,247.468474,247.4684740003,247.468473,247.468473,247.468473,247.468473,247.468473,247.468473,247.468473,247.468473,247.468474,247.468473,247.468473,247.468473,247.468473,247.468474,247.468474,247.468474,247.468474,247.468474,247.468474,271.51613,271.516129,271.51613,271.51613,271.516129,271.516129,271.51613,271.51613,271.516129,271.51613,271.51613,271.51613,271.516129,271.516129,650.100056,650.100056,650.100056,650.100056
"Lavandula_latifolia",213.48282,213.482821,213.482821,213.482821,213.482821,213.482821,213.48282,213.48282,213.48282,213.482821,213.48282,213.482821,213.482821,213.48282,50.7155020000002,50.7155030000002,50.7155030000002,0,68.5608340000002,68.5608340000002,68.5608350000002,68.5608350000002,68.5608340000002,68.5608340000001,68.5608350000002,80.5778700000003,94.5428740000003,94.5428740000003,94.5428740000003,94.5428740000003,94.5428750000002,105.865523,105.865523,142.041217,176.495553,179.502135,179.502135,179.502134,179.502135,224.681457,224.681457,239.748467,239.748467,239.748466,239.748466,239.748466,239.748466,239.748466,239.748467,239.748466,242.769328,247.468472,247.468472,247.468472,247.468473,247.468472,247.468473,247.468473,247.468472,247.468472,247.468473,247.468472,247.468473,247.468473,247.468473,247.468473,247.468472,247.4684730003,247.468473,247.4684730003,247.468472,247.468472,247.468472,247.468472,247.468472,247.468472,247.468472,247.468472,247.468473,247.468472,247.468472,247.468472,247.468472,247.468473,247.468473,247.468473,247.468473,247.468473,247.468473,271.516129,271.516128,271.516129,271.516129,271.516128,271.516128,271.516129,271.516129,271.516128,271.516129,271.516129,271.516129,271.516128,271.516128,650.100055,650.100055,650.100055,650.100055
